出發時間,抵達時間,早鳥,行車時間,車次
06:15,08:40, 65折起,02:25,0803
06:40,08:50, ,02:10,0603
07:00,09:25, 8折起,02:25,0805
07:20,09:05, ,01:45,0109
07:35,09:45, ,02:10,0609
07:40,09:30, ,01:50,0205
08:00,10:25, 65折起,02:25,0809
08:10,10:20, ,02:10,0613
08:20,10:05, ,01:45,0113
08:35,10:45, ,02:10,0615
08:50,11:00, 65折起,02:10,1307
09:00,11:25, 65折起,02:25,0813
09:10,11:20, 65折起,02:10,0619
09:20,11:05, ,01:45,0117
09:35,11:45, 8折起,02:10,0621
10:00,12:25, 65折起,02:25,0817
10:10,12:20, 65折起,02:10,0625
10:20,12:05, 8折起,01:45,0121
10:35,12:45, 8折起,02:10,0627
11:00,13:25, 65折起,02:25,0821
11:20,13:05, 8折起,01:45,0125
11:35,13:45, 8折起,02:10,0633
12:00,14:25, 65折起,02:25,0825
12:20,14:05, 8折起,01:45,0129
12:35,14:45, ,02:10,0639
13:00,15:25, 65折起,02:25,0829
13:20,15:05, 8折起,01:45,0133
13:35,15:45, ,02:10,0645
14:00,16:25, 8折起,02:25,0833
14:20,16:05, 8折起,01:45,0137
14:35,16:45, ,02:10,0651
15:00,17:25, 8折起,02:25,0837
15:20,17:05, ,01:45,0141
15:35,17:45, ,02:10,0657
16:00,18:25, 65折起,02:25,0841
16:10,18:20, 8折起,02:10,0661
16:20,18:05, ,01:45,0145
16:35,18:45, ,02:10,0663
17:00,19:25, 65折起,02:25,0845
17:10,19:20, 8折起,02:10,0667
17:20,19:05, ,01:45,0149
17:35,19:45, ,02:10,0669
18:00,20:25, 65折起,02:25,0849
18:10,20:20, 8折起,02:10,0673
18:20,20:05, ,01:45,0153
18:35,20:45, 8折起,02:10,0675
18:40,20:30, 8折起,01:50,0249
19:00,21:25, 8折起,02:25,0853
19:20,21:05, 8折起,01:45,0157
19:35,21:45, ,02:10,0681
20:00,22:25, 8折起,02:25,0857
20:20,22:05, 8折起,01:45,0161
20:35,22:45, 8折起,02:10,0687
21:00,23:25, 65折起,02:25,0861
21:20,23:05, 65折起,01:45,0165
21:30,23:40, 65折起,02:10,0693
21:45,23:55, 65折起,02:10,0333
22:05,23:59, 65折起,01:54,0295
